the_geom,BoroCode,BoroName,specific_borough,Amount_of_Racks
POINT (-73.84716170094029 40.68129351556943),4,Queens,,
POINT (-73.87393449997276 40.7486989311125),4,Queens,,
POINT (-73.95435007542397 40.730802705679245),3,Brooklyn,,
POINT (-73.95435007542397 40.730802705679245),3,Brooklyn,,
POINT (-73.96609180015415 40.79993307773886),1,Manhattan,,
POINT (-74.00341302157852 40.65529214139109),3,Brooklyn,,
POINT (-73.96478065453556 40.77269669925652),1,Manhattan,,
POINT (-73.96318984934963 40.60691488964503),3,Brooklyn,,
POINT (-73.81577542635334 40.58632983837173),4,Queens,,
POINT (-73.81577542635334 40.58632983837173),4,Queens,,
POINT (-73.84733029516319 40.6816697739667),4,Queens,,
POINT (-73.84658384011472 40.68015640837937),4,Queens,,
POINT (-74.03278979338498 40.619201804515626),3,Brooklyn,,
POINT (-73.84711124894136 40.68128246945804),4,Queens,,
POINT (-74.03028944010852 40.61808810433402),3,Brooklyn,,
POINT (-74.03028944010852 40.61808810433402),3,Brooklyn,,
